City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,remire-montjoly,4.9167,-52.2667,302.17,74,75,5.14,GF,1701722155
272,pokhara,28.2333,83.9833,287.71,73,89,1.91,NP,1701722156
273,al ghayzah,16.2079,52.176,298.39,65,42,2.33,YE,1701722157
274,snellville,33.8573,-84.0199,293.03,32,0,8.23,US,1701721982
275,north bend,43.4065,-124.2243,289.4,88,100,5.14,US,1701722158
276,summerside,46.3959,-63.7876,274.22,100,100,9.26,CA,1701722159
277,bodaybo,57.8506,114.1933,264.78,96,100,1.18,RU,1701722160
278,taro,-8.3862,115.28,295.15,97,100,0.61,ID,1701722161
279,tual,-5.6667,132.75,300.91,77,100,1.87,ID,1701722162
280,hengshui,37.7322,115.7011,275.52,39,0,1.21,CN,1701722163
281,kharkhorin,47.1975,102.8238,265.02,63,1,10.4,MN,1701722164
282,xilin hot,43.9667,116.0333,270.63,64,34,9.16,CN,1701722164
283,nykarleby,63.5228,22.5307,263.23,98,96,0.91,FI,1701722165
284,toamasina,-18.1667,49.3833,297.15,88,75,1.54,MG,1701722166
285,enewetak,11.3474,162.3373,300.86,73,100,9.59,MH,1701722167
286,la gi,10.6667,107.7833,297.1,89,63,2.26,VN,1701722168
287,maintirano,-18.0667,44.0167,299.8,79,3,2.72,MG,1701722169
288,san andres,12.5847,-81.7006,302.16,79,20,4.63,CO,1701722170
289,luderitz,-26.6481,15.1594,290.88,60,0,8.79,NA,1701722171
290,orchard homes,46.8633,-114.0484,284.42,85,75,1.54,US,1701722172
291,likiep,9.8251,169.3107,300.68,79,93,9.27,MH,1701722173
292,lesosibirsk,58.2358,92.4828,250.32,91,100,4.99,RU,1701722174
293,emerald,-23.5333,148.1667,296.67,87,0,5.3,AU,1701721886
294,verneuil-sur-avre,48.7395,0.9273,281.93,86,100,9.62,FR,1701722175
295,odda,60.0691,6.5457,270.25,95,13,2.07,NO,1701722176
296,vila franca do campo,37.7167,-25.4333,288.38,77,66,2.03,PT,1701722177
297,dubovskoye,47.4092,42.7575,273.43,98,100,4.43,RU,1701722178
298,isangel,-19.55,169.2667,300.47,74,73,3.83,VU,1701722179
299,port-vila,-17.7338,168.3219,300.04,79,100,6.39,VU,1701722180
300,xai-xai,-25.0519,33.6442,294.9,75,0,4.92,MZ,1701722181
301,shadegan,30.6497,48.6647,287.12,35,0,3.7,IR,1701722182
302,xining,36.6167,101.7667,272.17,39,12,0.2,CN,1701721899
303,thames,-37.1333,175.5333,290.22,88,100,2.63,NZ,1701722183
304,eregli,37.5133,34.0467,283.46,53,100,1.2,TR,1701722184
305,andergrove,-21.0833,149.1833,300.18,78,16,4.58,AU,1701722185
306,fort bragg,35.139,-79.006,293.61,36,0,5.66,US,1701722186
307,san antonio de pale,-1.4014,5.6325,299.92,81,100,3.14,GQ,1701722187
308,aykhal,66.0,111.5,235.25,100,99,2.86,RU,1701722003
309,launceston,-41.45,147.1667,287.12,100,100,2.57,AU,1701721946
310,el idrissia,34.4454,2.5275,283.21,39,97,2.25,DZ,1701722190
311,axim,4.8699,-2.2405,299.87,85,9,3.18,GH,1701722190
312,egersund,58.4513,5.9997,272.09,84,90,3.22,NO,1701722191
313,yelizovo,53.1873,158.3805,268.23,100,100,1.0,RU,1701722192
314,horta,38.5333,-28.6333,290.38,72,75,5.66,PT,1701722193
315,berlin,52.5244,13.4105,273.08,83,0,5.66,DE,1701721921
316,las tablas,7.7667,-80.2833,302.67,72,83,5.55,PA,1701722195
317,hadibu,12.65,54.0333,298.3,67,7,7.24,YE,1701722196
318,yung shue wan,22.2333,114.1167,294.05,76,90,0.45,HK,1701722197
319,uturoa,-16.7333,-151.4333,300.07,79,100,9.06,PF,1701722198
320,dali,25.7,100.1833,280.89,88,100,2.06,CN,1701722198
321,san ciro de acosta,21.6333,-99.8167,294.98,63,100,2.15,MX,1701722199
322,wamba,8.9333,8.6,298.66,32,51,1.91,NG,1701722200
323,thief river falls,48.1191,-96.1812,272.11,93,100,0.0,US,1701721929
324,odienne,9.51,-7.5692,298.38,29,8,1.12,CI,1701722202
325,bereeda,11.8704,51.0579,298.17,73,26,5.29,SO,1701722203
326,cabo san lucas,22.8909,-109.9124,303.49,58,0,3.09,MX,1701722141
327,dahme,51.8667,13.4333,272.04,86,100,4.81,DE,1701722205
328,alaghsas,17.0187,8.0168,297.33,15,31,5.22,NE,1701722205
329,pisco,-13.7,-76.2167,294.83,78,99,4.63,PE,1701722156
330,selfoss,63.9331,-20.9971,271.63,71,100,3.47,IS,1701722207
331,usinsk,65.9939,57.5281,247.08,94,34,3.58,RU,1701722208
332,pont rouge,48.8833,-72.0825,264.31,78,99,3.55,CA,1701722209
333,thinadhoo,0.5333,72.9333,300.51,79,85,2.58,MV,1701722210
334,wynyard,-41.0,145.7167,287.46,81,100,0.89,AU,1701722211
335,san sebastian de la gomera,28.0916,-17.1133,293.92,77,20,2.06,ES,1701722211
336,bembibre,42.6177,-6.4155,279.07,96,56,2.35,ES,1701722212
337,nouadhibou,20.931,-17.0347,294.14,73,100,3.6,MR,1701722213
338,san luis de la loma,17.2706,-100.8939,302.29,67,100,3.61,MX,1701722214
339,tocopilla,-22.092,-70.1979,294.58,66,21,4.14,CL,1701721915
340,valle aurina - ahrntal,46.9962,11.9799,268.31,91,100,3.09,IT,1701722216
341,cuyo,10.8525,121.0086,300.74,83,69,4.93,PH,1701722216
342,tarija,-21.5355,-64.7296,294.1,68,75,4.12,BO,1701722217
343,lone grove,34.1754,-97.2628,289.53,29,0,1.54,US,1701722218
344,palu,-0.8917,119.8707,297.03,95,81,1.25,ID,1701722219
345,pemangkat,1.1667,108.9667,297.84,92,100,3.01,ID,1701722220
346,sungai penuh,-2.0833,101.3833,290.82,90,99,1.32,ID,1701722221
347,es castell,39.8795,4.2854,287.53,67,20,4.63,ES,1701722222
348,vilyuysk,63.7553,121.6247,230.93,99,60,1.79,RU,1701722223
349,la passe,45.5549,-0.8967,283.14,61,95,10.73,FR,1701722224
350,shuangjiang,26.1547,109.7138,280.37,94,23,1.09,CN,1701722224
351,mount isa,-20.7333,139.5,296.02,60,3,2.06,AU,1701722225
352,qala i naw,34.9874,63.1289,284.84,17,0,1.42,AF,1701722226
353,zhangye,38.9342,100.4517,271.22,40,38,1.04,CN,1701722227
354,fortuna,40.5982,-124.1573,289.78,90,100,7.2,US,1701722228
355,bayanaul,50.7889,75.6956,268.01,81,98,4.34,KZ,1701722229
356,meraux,29.933,-89.9498,293.16,55,0,4.12,US,1701722230
357,tursunzoda,38.5144,68.2333,285.17,28,10,3.0,TJ,1701722231
358,gwadar,25.1216,62.3254,297.34,34,49,4.71,PK,1701722232
359,igarka,67.4667,86.5833,232.15,99,51,1.59,RU,1701722232
360,chebba,35.2372,11.115,288.41,55,99,8.74,TN,1701722234
361,utrik,11.2278,169.8474,300.35,77,79,8.12,MH,1701722235
362,longview,32.5007,-94.7405,291.12,20,0,3.09,US,1701722235
363,safi,32.1667,-8.8333,289.07,51,97,1.35,MA,1701722236
